"title","commits","additions","deletions","changed_files","author_association"
"Add LINM (Loop Invariant Node Motion) optimization pass in GraphOptim…",2,647,0,6,"NONE"
"Branch 182808673",5,686,84,15,"MEMBER"
"MKL: Fix convolutional_recurrent_test failure",1,1,1,1,"CONTRIBUTOR"
"MKL: Fixed convolutional_recurrent_test",1,1,1,1,"NONE"
"Branch 182802058",6,420,49,12,"CONTRIBUTOR"
"Branch 182783262",24,1587,240,61,"MEMBER"
"Removes redundant variable assignment",1,0,1,1,"CONTRIBUTOR"
"Repair compilation error of tensorflow built with MKL-DNN",1,1,1,1,"CONTRIBUTOR"
"minor spelling tweaks for lite docs",1,3,3,2,"CONTRIBUTOR"
"R1.4",76,2986,1244,83,"NONE"
"Add test for float16 support with conv1d and update docstring",3,24,22,2,"MEMBER"
"udacity assignment 1 & 2",1,1667,0,2,"NONE"
"Branch 182576952",18,2568,295,32,"MEMBER"
"Branch 182559534",11,2149,197,20,"MEMBER"
"Branch 182554969",7,104,22,11,"MEMBER"
"Branch 182511847",35,815,65,20,"MEMBER"
"fix typo",1,2,2,2,"CONTRIBUTOR"
"fix typo",1,1,1,1,"CONTRIBUTOR"
"Branch 182474037",33,810,60,19,"MEMBER"
"Branch 182456096",29,2404,1024,100,"MEMBER"
"Docker patch 14",3,36,1,1,"MEMBER"
"Suppress AWS curl init warning",1,1,0,1,"MEMBER"
"Fixing a typo for the argument to docker push. (#16204)",1,1,1,1,"MEMBER"
"Branch 182384458",21,5323,1109,138,"MEMBER"
"Windows: Add missing dependencies in lib_proto_parsing",1,1,0,1,"MEMBER"
"fix typo",1,1,1,1,"CONTRIBUTOR"
"Branch 182305106",16,3139,646,104,"MEMBER"
"Fixing a typo for the argument to docker push.",1,1,1,1,"MEMBER"
"Branch 182280342",6,189,12,9,"MEMBER"
"Accepts `PathLike` objects for `model_dir`",3,28,5,4,"CONTRIBUTOR"
"Branch 182265266",55,6892,1647,204,"MEMBER"
"Fix issue of branch switching not working with bazel",3,5,0,1,"MEMBER"
"Fixing deprecated URL link",2,2,2,1,"CONTRIBUTOR"
"Fix docstring typo of losses_impl.py",1,1,1,1,"CONTRIBUTOR"
"`AssignVariableOp` supports `DT_BFLOAT16`",3,8,0,2,"CONTRIBUTOR"
"4d55397500 patch 1",3,4,1,1,"CONTRIBUTOR"
"Merge changes from r1.5 into master",30,182,68,9,"MEMBER"
"Updating the docker login command. The email flag is deprecated.",1,2,3,1,"MEMBER"
"Branch 182086883",53,3676,761,107,"MEMBER"
"GAN model: move generated and real operations under discriminator namespace",1,9,7,1,"CONTRIBUTOR"
"Update rules_closure to fix bazel version check",1,4,4,1,"MEMBER"
"New features: tf.alphas and tf.alphas_like - Related to #16128",5,117,0,5,"CONTRIBUTOR"
"FIX Typo",3,4,4,2,"CONTRIBUTOR"
"Fix typo",10,2,2,2,"CONTRIBUTOR"
"Fix broken python3 build",1,3,0,3,"CONTRIBUTOR"
"fix default parameters for TimeFreqLSTMCell, fixes #16100",1,1,1,1,"CONTRIBUTOR"
"Disable stacktrace_handler_test becase stack trace isn't generated on Windows",1,1,0,1,"MEMBER"
"fix typo",1,2,2,1,"CONTRIBUTOR"
"R1.5",25,3296,4129,121,"NONE"
"Make srcd in variable",11,2,1,1,"CONTRIBUTOR"
"Address bad merge in Java install instructions",1,2,2,1,"MEMBER"
"Branch 181814918",23,22772,20131,104,"CONTRIBUTOR"
"MKL-DNN:  fix batchnorm unit test failures",2,245,115,1,"CONTRIBUTOR"
"Disable flaky model_analyzer_test on windows.",1,1,0,1,"MEMBER"
"Disable keras data_utils_test as it's flaky.",2,1,0,1,"MEMBER"
"[Intel MKL-DNN] fixes for several MKLDNN unit tests.",1,2,2,1,"CONTRIBUTOR"
"MKL-DNN: fix concat issue related to negative input concat_dim",1,3,1,1,"CONTRIBUTOR"
"MKL-DNN: fix a concat issue which is related to negative concat_dim",1,3,1,1,"NONE"
"Branch 181765083",52,37810,23958,177,"MEMBER"
"Update important RELNOTES and author list",1,27,27,1,"MEMBER"
"Update LICENSE",1,1,1,1,"MEMBER"
"Fix typo",6,5,5,5,"CONTRIBUTOR"
"fix comments and code matches",4,2,2,1,"CONTRIBUTOR"
"Fix typo",6,5,5,5,"CONTRIBUTOR"
"[XLA] Separate out the dynamic slice wrapping tests",3,28,0,1,"CONTRIBUTOR"
"the loss is nan",4068,745294,164748,5446,"NONE"
"Branch 181679271",74,6706,2294,229,"CONTRIBUTOR"
"[Intel MKL] Fixes for various MKLDNN unit test failures",1,117,28,9,"CONTRIBUTOR"
"Apply 1.5-rc1 cherry-picks.",18,2182,3825,72,"MEMBER"
"MKL: Fixed 3 bugs picked up by the unit tests",1,15,10,3,"CONTRIBUTOR"
"Windows: Batch script for building the CUDA-enabled C library.",1,1,0,1,"MEMBER"
"Branch 181629980",44,2756,1553,106,"MEMBER"
"fix C2678 error on VS2017 15.5",1,1,1,1,"CONTRIBUTOR"
"Windows: Remove -j option when zip libtensorflow package",1,1,1,1,"MEMBER"
"Use https for `https://github.com/tensorflow/serving`",2,3,3,1,"MEMBER"
"Update embedding.md",1,1,1,1,"CONTRIBUTOR"
"py2tf: add py2tf_internal BUILD rule to pip package",1,2,1,2,"CONTRIBUTOR"
"R1.4",72,2950,1243,82,"NONE"
"Update version strings and revert pom.xml changes",2,41,41,13,"MEMBER"
"Update version strings.",6,41,41,13,"MEMBER"
"MKL: Fix LRN tensor shape when Eigen path is taken.",1,20,12,1,"CONTRIBUTOR"
"Branch 181499300",47,5539,24956,220,"MEMBER"
"Disable all failing tests to fix TF opensource tests.",2,14,5,4,"MEMBER"
"Disabling the warnings test for python3.5 as well.",1,2,2,1,"MEMBER"
"Modify `_parse_bazel_version` to return a tuple of ints",1,6,10,1,"MEMBER"
"Disabling the interleave_op_test for now.",2,4,0,1,"MEMBER"
"Fix inline if/else statement in CMAKE_CACHE_ARGS",1,9,45,9,"CONTRIBUTOR"
"Verbs w 0 copies",22,1574,881,15,"CONTRIBUTOR"
