2017-04-28	2.0.31
2017-04-27	2.0.28
2017-04-21	2.0.18
2017-04-19	2.0.16
2017-04-17	2.0.15
2017-04-14	2.0.14
2017-04-13	2.0.13
2017-04-11	2.0.10
2017-03-28	1.0.48
2017-03-21	1.0.45
2017-03-14	1.0.39
2017-03-07	1.0.32
2017-04-18	1.0.30
2017-04-18	1.0.29
2017-02-15	1.0.27
2017-02-13	1.0.26
2017-02-03	1.0.21
2017-01-31	1.0.18
2017-01-30	1.0.17
2017-01-26	1.0.15
2017-01-21	1.0.11
2017-01-20	1.0.10
2017-01-18	1.0.9
2017-01-17	1.5.0
2016-12-13	0.4.402
2016-12-05	0.4.401
2016-11-22	0.4.400
2016-11-07	0.4.204
2016-11-03	0.4.201
2016-10-25	0.4.59
2016-09-30	0.4.56
2016-09-14	0.4.52
2016-09-02	0.4.51
2016-08-18	0.4.49
2016-07-28	0.4.47
2016-06-14	0.4.45
2016-05-19	0.4.40
2016-05-16	0.4.38
2016-05-15	0.4.37
2016-05-05	0.4.33
2016-05-03	0.4.32
2016-04-12	0.4.25
2016-03-25	0.4.19
2016-03-19	0.4.16
2016-03-11	0.4.14
2016-02-27	0.4.10
2016-02-26	0.4.9
2016-02-07	0.4.5
2016-02-06	0.4.4
2016-02-02	0.3.45
2016-01-13	0.3.43
2016-01-08	0.3.38
2016-01-06	0.3.36
